judul,text,tanggal,sentimen
"Resmi Kantongi Lisensi PFAK, Ajaib Kripto Siapkan Strategi Ini","resmi kantongi lisensi PFAK , ajaib kripto siapkan strategi ini",2024/10/03,netral
"RAJA Lepas Lagi 144,98 Juta Saham RATU, Untuk Apa?","RAJA lepas lagi 144.98 juta saham RATU , untuk apa ?",2025/03/19,netral
"Saham BREN Anyep, IHSG Berbalik Jadi Loyo","saham BREN anyep , IHSG berbalik jadi loyo",2024/07/02,negatif
Live Now! Direktur UOB Harapman Kasan Beberkan Tantangan Bank Saat Ini,live now ! direktur UOB harapman kasan beberkan tantangan bank saat ini,2024/09/24,netral
"Realisasi Penyaluran KUR Tahun Ini 14,9%, Senilai Rp 44,7 Triliun","realisasi penyaluran KUR tahun ini 14.9% , senilai rp 44.7 triliun",2025/03/18,positif
"The Fed Tahan Suku Bunga, Nikkei Melemah Tipis","the fed tahan suku bunga , nikkei melemah tipis",2025/01/30,negatif
"OJK: Kredit Perbankan Naik 10,92% per November 2024, DPK Tumbuh 7,54%","OJK : kredit perbankan naik 10.92% per november 2024 , DPK tumbuh 7.54%",2025/01/07,positif
"Betonjaya (BTON) Bagikan Dividen Rp7,2 M, Catat Jadwalnya","betonjaya ( BTON ) bagikan dividen rp 7.2M , catat jadwalnya",2024/09/12,positif
"IsDB Salurkan Pembiayaan Rp111,48 T ke Indonesia Untuk Ini",isdb salurkan pembiayaan rp 111.48 t ke indonesia untuk ini,2024/10/04,positif
OJK Lapor Aset Industri Asuransi RI Capai Rp 1.126 T per Juni 2024,OJK lapor aset industri asuransi RI capai rp 1.126 t per juni 2024,2024/08/05,netral
"Bos Bursa Ungkap Ketakutan IHSG, Dampaknya Lebih Ngeri dari Suku Bunga","bos bursa ungkap ketakutan IHSG , dampaknya lebih ngeri dari suku bunga",2024/07/30,negatif
Ternyata Ini Alasan Tony Blair Masuk Dewan Pengawas Danantara,ternyata ini alasan tony blair masuk dewan pengawas danantara,2025/02/26,netral
OJK Buka Suara Soal Kabar Dua Bank Digital Mau IPO,OJK buka suara soal kabar dua bank digital mau IPO,2025/01/24,netral
"IHSG Berbalik Hijau, Asing Serbu Saham Ini","IHSG berbalik hijau , asing serbu saham ini",2025/02/05,positif
"Mau IPO, Begini Jeroan Keuangan Kopi FORE","mau IPO , begini jeroan keuangan kopi FORE",2025/03/19,netral
"DPR Desak Soal Investasi Fiktif Rp 1 T, Bos Taspen Buka Suara","DPR desak soal investasi fiktif rp 1 T , bos taspen buka suara",2024/06/24,negatif
"Sebut-Sebut Dolar AS Palsu, Begini Peringatan Terbaru Robert Kiyosaki","sebut-sebut dolar AS palsu , begini peringatan terbaru robert kiyosaki",2024/05/04,netral
"Kredit Bank Tumbuh Dua Digit, Kok Ekonomi RI Malah Lesu?","kredit bank tumbuh dua digit , kok ekonomi RI malah lesu ?",2024/12/05,negatif
Lo Kheng Hong: PER dan PBV Tak Boleh di Atas Angka Ini,lo kheng hong : PER dan PBV tak boleh di atas angka ini,2024/08/15,netral
"Sejarah! Uber Cetak Laba 2023 Rp 30 T, Akankah GOTO Menyusul?","sejarah ! uber cetak laba 2023 rp 30 T , akankah GOTO menyusul ?",2024/02/20,positif
"Jelang Libur Natal, IHSG Merana Lagi & Gagal Balik Ke 7.100-an","jelang libur natal , IHSG merana lagi gagal balik ke 7100-an",2024/12/24,negatif
"Cadangan Devisa Naik US$0,4 Miliar, Dolar Akhirnya Turun ke Rp16.270","cadangan devisa naik US 0.4 miliar , dolar akhirnya turun ke rp 16.270",2025/02/07,positif
"OJK: Sektor Jasa Keuangan Stabil, Pasar Optimis Suku Bunga Fed Turun","OJK : sektor jasa keuangan stabil , pasar optimis suku bunga fed turun",2024/09/06,positif
Bos BI Dorong Penguatan BPD Untuk Digitalisasi Pembayaran,bos BI dorong penguatan BPD untuk digitalisasi pembayaran,2024/09/23,positif
"Bank Bangkrut di RI Bertambah Jadi 15, Ini yang Terbaru","bank bangkrut di RI bertambah jadi 15 , ini yang terbaru",2024/09/13,negatif
"Umur 7 Multifinance Modal Minim Menghitung Hari, OJK Buka Suara","umur 7 multifinance modal minim menghitung hari , OJK buka suara",2024/08/09,netral
"Rupiah-IHSG Kompak Loyo, Ini Ternyata Penyebabnya!","rupiah-ihsg kompak loyo , ini ternyata penyebabnya !",2024/11/12,negatif
"Skandal Gunung Emas RI, Seret Kroni Soeharto-Investor Rugi Triliunan","skandal gunung emas RI , seret kroni soeharto-investor rugi triliunan",2024/06/29,netral
"Rupiah Melemah, Dolar Ditutup Naik Jadi Rp 16.590","rupiah melemah , dolar ditutup naik jadi rp 16.590",2025/03/25,negatif
"5 Saham Milik Konglomerat Ini Bikin IHSG Terbang 3,1%",5 saham milik konglomerat ini bikin IHSG terbang 3.1%,2025/03/03,positif
"Terjerat Kasus Jiwasraya, Harta Isa Rachmatawarta Rp 38,97 M","terjerat kasus jiwasraya , harta isa rachmatawarta rp 38.97 m",2025/02/10,negatif
"Terungkap, Perempuan & Milenial Makin Banyak Ambil KPR Rumah Sendiri","terungkap , perempuan milenial makin banyak ambil KPR rumah sendiri",2024/11/09,netral
"Gagal Penuhi Modal Minimum, 2 Asuransi Kembalikan Izin ke OJK","gagal penuhi modal minimum , 2 asuransi kembalikan izin ke OJK",2024/09/20,negatif
"IHSG Ogah Bergerak, Turun Tipis dan Masih di Level 7.000","IHSG ogah bergerak , turun tipis dan masih di level 7.000",2025/01/08,negatif
"Tahun Depan PPN Jadi 12%, Ini Dampaknya Kata Bankir Syariah","tahun depan PPN jadi 12% , ini dampaknya kata bankir syariah",2024/11/29,netral
"Saham Gocap Mulai Bangkit Dari Kubur, Ini Daftarnya!","saham gocap mulai bangkit dari kubur , ini daftarnya !",2024/08/02,positif
OJK: Sepanjang 2024 Bank Tumbuh Sesuai Target,OJK : sepanjang 2024 bank tumbuh sesuai target,2025/02/11,positif
BTN Bakal Luncurkan Pay Later di Semester I-2024,BTN bakal luncurkan pay later di semester I-2024,2024/02/12,netral
Negara Arab Ramai-Ramai Suntik Dana ke Perusahaan AI,negara arab ramai-ramai suntik dana ke perusahaan AI,2024/09/22,positif
"Laba Indika Energy (INDY) Anjlok 37,44%, Jadi Rp326,85 M","laba indika energy ( INDY ) anjlok 37.44% , jadi rp 326.85 m",2024/06/03,negatif
"Jokowi Lantik Aida Suwandi Budiman Jadi Komisioner LPS, Ini Profilnya","jokowi lantik aida suwandi budiman jadi komisioner LPS , ini profilnya",2024/09/11,netral
"IHSG Naik Lagi, Saham BMRI-BBRI Jadi Penopang Terbesar","IHSG naik lagi , saham bmri-bbri jadi penopang terbesar",2025/01/20,positif
"Rupiah Makin Perkasa Berkat Sabda Powell, Dolar ke Level Rp15.400!","rupiah makin perkasa berkat sabda powell , dolar ke level rp 15.400!",2024/08/26,positif
Risiko Kredit Industri Perbankan per Januari 2025 Naik,risiko kredit industri perbankan per januari 2025 naik,2025/03/04,negatif
"Satgas PASTI Tutup 12.185 Investasi Ilegal, Pinjol Paling Banyak","satgas PASTI tutup 12.185 investasi ilegal , pinjol paling banyak",2025/01/24,negatif
"Sentimen Pasar Memburuk, IHSG Ambruk 1% Lebih","sentimen pasar memburuk , IHSG ambruk 1% lebih",2024/10/02,negatif
"Pasar IPO di RI Sepi, OJK Yakin Penghimpunan Dana Bisa Capai Target","pasar IPO di RI sepi , OJK yakin penghimpunan dana bisa capai target",2024/07/10,netral
"Ditutup Turun 2%, IHSG Kembali ke 6.200-an","ditutup turun 2% , IHSG kembali ke 6200-an",2025/03/21,negatif
"ETF Ethereum Spot Siap Diperdagangkan, Pasar Kripto Pesta Pora","ETF ethereum spot siap diperdagangkan , pasar kripto pesta pora",2024/07/16,positif
"Kekhawatiran Besar Saat Trump Menang, Investor Disarankan Begini!","kekhawatiran besar saat trump menang , investor disarankan begini !",2024/11/11,netral
Begini Cara Lepas dari Jeratan Utang Pinjol Ilegal,begini cara lepas dari jeratan utang pinjol ilegal,2024/11/20,netral
"Harta Kekayaan 7 Presiden RI, Siapa Paling Miskin?","harta kekayaan 7 presiden RI , siapa paling miskin ?",2024/02/18,netral
"Perkuat Tata Kelola, Waskita Karya (WSKT) Lakukan Hal Ini!","perkuat tata kelola , waskita karya ( WSKT ) lakukan hal ini !",2024/08/01,positif
"Emiten Grup Lippo (SILO) Dapat Kredit Rp14,5 Triliun dari BNI Cs",emiten grup lippo ( SILO ) dapat kredit rp 14.5 triliun dari BNI cs,2025/03/25,positif
Sandiaga Sebut Ini Jadi Penyebab Harta Turun Rp 3 T dalam Setahun,sandiaga sebut ini jadi penyebab harta turun rp 3 t dalam setahun,2024/03/09,netral
"Jelang Keputusan Suku Bunga BI, IHSG Dibuka Sumringah Lagi","jelang keputusan suku bunga BI , IHSG dibuka sumringah lagi",2024/10/16,positif
"Pasar Karbon RI Ternyata Sepi Peminat, Cuma Laku Segini","pasar karbon RI ternyata sepi peminat , cuma laku segini",2025/01/31,netral
"Miris Guru Paling Banyak Terjerat Pinjol, Begini Kata OJK","miris guru paling banyak terjerat pinjol , begini kata OJK",2024/10/17,negatif
"Bank BJB (BJBR) Setor Rp221,4 M ke Bank Jambi, Pegang 7,75% Saham","bank BJB ( BJBR ) setor rp 221.4 m ke bank jambi , pegang 7.75% saham",2024/12/20,positif
"Dua Emiten Tambang Bakrie, BUMI dan BRMS Masuk Indeks MSCI","dua emiten tambang bakrie , BUMI dan BRMS masuk indeks MSCI",2024/11/08,positif
"Ditopang Rebound Saham Bank, IHSG Cerah Bergairah Dekati Level 7.100","ditopang rebound saham bank , IHSG cerah bergairah dekati level 7.100",2024/12/23,positif
"IHSG Kembali ke 7.300, Asing Serbu Saham Perbankan","IHSG kembali ke 7.300 , asing serbu saham perbankan",2024/08/14,positif
"IHSG Dibuka Bergairah Lagi, Makin Dekati Level 7.500-an","IHSG dibuka bergairah lagi , makin dekati level 7500-an",2024/12/11,positif
"Sosok Raja Debt Collector RI, Bangun Dinasti dari Nol","sosok raja debt collector RI , bangun dinasti dari nol",2024/08/31,netral
"Pendapatan Ambles, Emiten Pengelola Starbucks RI (MAPB) Rugi Rp79,13 M","pendapatan ambles , emiten pengelola starbucks RI ( MAPB ) rugi rp 79.13 m",2024/11/05,negatif
"Erick Thohir Kembali Jabat Menteri BUMN, Ini Katanya","erick thohir kembali jabat menteri BUMN , ini katanya",2024/10/21,netral
Susunan Lengkap Direksi-Komisaris Baru Garuda Indonesia (GIAA),susunan lengkap direksi-komisaris baru garuda indonesia ( GIAA ),2024/11/18,netral
"Masa Jabatan Bos LPS Selesai Tahun Ini, Siapa Penggantinya?","masa jabatan bos LPS selesai tahun ini , siapa penggantinya ?",2025/01/23,netral
"Jarang Lirik Properti, Warren Buffett Justru Beli Aset Ini","jarang lirik properti , warren buffett justru beli aset ini",2024/12/04,netral
Asing Kompak Borong 10 Saham Ini Kala IHSG Mulai Bangkit,asing kompak borong 10 saham ini kala IHSG mulai bangkit,2024/11/01,positif
"Moody's Pertahankan Rating Credit RI, Bos BI & Menkeu Buka Suara","moodys pertahankan rating credit RI , bos BI menkeu buka suara",2025/03/21,netral
"Ekonomi Bakal Sulit, Bank Asing Ini Bagikan Rumus Untuk Bertahan Hidup","ekonomi bakal sulit , bank asing ini bagikan rumus untuk bertahan hidup",2025/03/12,netral
Kisah Raja Ritel RI Hingga Akhirnya 'Menyerah' ke Keluarga Riyadi,kisah raja ritel RI hingga akhirnya menyerah ke keluarga riyadi,2024/07/20,netral
"Bukan OJK, Soal Restrukturisasi KUR Dibahas 3 Menteri Ini!","bukan OJK , soal restrukturisasi KUR dibahas 3 menteri ini !",2024/08/01,netral
"Erick Thohir: Proyek Terminal 4 Soekarno Hatta Batal, Ini Alasannya","erick thohir : proyek terminal 4 soekarno hatta batal , ini alasannya",2024/11/04,negatif
"Warga Jawa Barat Paling Banyak Nunggak Utang Pinjol, Tembus Rp16,55 T","warga jawa barat paling banyak nunggak utang pinjol , tembus rp 16.55 t",2024/04/01,negatif
United E-Motor Buka Store Terbaru di AEON Deltamas,united e-motor buka store terbaru di AEON deltamas,2024/04/01,positif
"BI Rate Udah Turun, Menteri Prabowo Minta Bank Turunkan Bunga Kredit","BI rate udah turun , menteri prabowo minta bank turunkan bunga kredit",2025/01/16,netral
"HUT ke-54, Dirut KB Bank Bawa Pesan Penting Ini","HUT ke-54 , dirut KB bank bawa pesan penting ini",2024/07/10,netral
"Sepanjang 2024, Asing Masuk Rp 16,53 T di Saham RI","sepanjang 2024 , asing masuk rp 16.53 t di saham RI",2025/01/08,positif
"Keputusan Lengkap BI Tahan Suku Bunga Acuan 5,75%",keputusan lengkap BI tahan suku bunga acuan 5.75%,2025/02/19,netral
WIKA Realty Raih Penghargaan CSR Awards di Ajang Ini,WIKA realty raih penghargaan CSR awards di ajang ini,2024/05/31,positif
"Wow, 69% Produksi Minyak RI Ternyata Berasal dari Perusahaan Ini","wow , 69% produksi minyak RI ternyata berasal dari perusahaan ini",2025/03/12,netral
"The Fed Pangkas Suku Bunga, Bursa Asia Hijau Royo-royo!","the fed pangkas suku bunga , bursa asia hijau royo-royo !",2024/11/08,positif
Intip Peluang Cuan dari Saham Kala Pasar Waswas Perang Dagang,intip peluang cuan dari saham kala pasar waswas perang dagang,2025/02/06,netral
Pemegang Dolar Bersiap! BI Bakal Buat Rupiah Lebih Kuat dari Rp15.400,pemegang dolar bersiap ! BI bakal buat rupiah lebih kuat dari rp 15.400,2024/08/22,positif
"Taat Ikuti Teladan Nabi, Pria Ini Cuan Rp 117 Triliun","taat ikuti teladan nabi , pria ini cuan rp 117 triliun",2025/01/26,netral
"Dituduh Cuci Uang Ratusan Miliar, Ini Respons Mengejutkan Raffi Ahmad","dituduh cuci uang ratusan miliar , ini respons mengejutkan raffi ahmad",2024/02/05,netral
WIKA Komitmen Lakukan Perbaikan Kinerja,WIKA komitmen lakukan perbaikan kinerja,2024/05/15,positif
"Berantas Judi Online, Bank Mandiri (BMRI) Lakukan 3 Hal Ini","berantas judi online , bank mandiri ( BMRI ) lakukan 3 hal ini",2024/07/09,netral
"Jelang Natal dan Tahun Baru, Begini Tren Utang Pinjol Warga RI","jelang natal dan tahun baru , begini tren utang pinjol warga RI",2024/12/10,netral
"Akhir Pekan IHSG Happy, Saham Big Cap Ini Jadi Penggeraknya","akhir pekan IHSG happy , saham big cap ini jadi penggeraknya",2024/07/12,positif
"Pelaku Pasar Khawatir, Dolar Turun ke Rp16.170","pelaku pasar khawatir , dolar turun ke rp 16.170",2024/08/05,negatif
"Analis Ramai-Ramai Rekomendasi Beli Saham GOTO, Segini Targetnya","analis ramai-ramai rekomendasi beli saham GOTO , segini targetnya",2024/10/15,netral
Rincian Lengkap Portofolio dan Tugas 3 Wamen BUMN,rincian lengkap portofolio dan tugas 3 wamen BUMN,2024/11/22,netral
Ini Dia Bocoran Harga Emas di 2024 dari Bos Freeport,ini dia bocoran harga emas di 2024 dari bos freeport,2024/02/05,netral
"Konversi Utang, Entitas Usaha Bakrieland (ELTY) Ambil Alih Saham GIN","konversi utang , entitas usaha bakrieland ( ELTY ) ambil alih saham GIN",2024/12/23,netral
Prajogo Pangestu Diramal Sejajar Elon Musk pada 2028,prajogo pangestu diramal sejajar elon musk pada 2028,2024/09/11,netral
