judul,text,tanggal,sentimen
"Trump Bikin Khawatir, Dolar Berbalik Naik ke Rp16.340","trump bikin khawatir , dolar berbalik naik ke rp 16.340",2025/02/25,negatif
Bos Agung Sedayu Group Buka Suara Soal Perbedaan Tafsir Hukum RI,bos agung sedayu group buka suara soal perbedaan tafsir hukum RI,2024/10/15,netral
Erick Thohir Buka-Bukaan Soal Penyehatan Indofarma (INAF),erick thohir buka-bukaan soal penyehatan indofarma ( INAF ),2024/11/01,netral
Bos KSEI Ungkap Saham di Sektor Ini Paling Rajin Bagi Dividen Jumbo,bos KSEI ungkap saham di sektor ini paling rajin bagi dividen jumbo,2024/08/13,netral
"Robert Kiyosaki Ramal Pasar Saham Ambruk, Begini Kondisi IHSG","robert kiyosaki ramal pasar saham ambruk , begini kondisi IHSG",2025/02/28,netral
"Tingkatkan Likuditas, BEI Luncurkan Fitur Transaksi Repo di SPPA","tingkatkan likuditas , BEI luncurkan fitur transaksi repo di SPPA",2025/03/10,positif
"Maybank Tebar Dividen Rp 785 M, Catat jadwal Pembagiannya","maybank tebar dividen rp 785 M , catat jadwal pembagiannya",2024/04/03,positif
"Ciri-Ciri Saham Gorengan, Investor Pemula Wajib Tahu","ciri-ciri saham gorengan , investor pemula wajib tahu",2024/09/22,netral
"Berhasil Rampok Emas Senilai Rp 1,3 Triliun, Dibongkar Ulah Istri","berhasil rampok emas senilai rp 1.3 triliun , dibongkar ulah istri",2024/08/17,negatif
"Rupiah Masih Dalam Tekanan, Dolar Dibuka Stagnan Rp 16.185","rupiah masih dalam tekanan , dolar dibuka stagnan rp 16.185",2024/12/27,negatif
Ternyata Ini Alasan KUR Tak Masuk Program Pemutihan Kredit UMKM,ternyata ini alasan KUR tak masuk program pemutihan kredit UMKM,2024/11/14,netral
"IHSG Nyaris Tak Bergerak, Saham Prajogo Jadi Pendorong Sekaligus Beban","IHSG nyaris tak bergerak , saham prajogo jadi pendorong sekaligus beban",2025/01/09,negatif
"Bertemu Presiden Bahas Bank Emas, Erick Thohir: Potensi PDB Rp 245 T","bertemu presiden bahas bank emas , erick thohir : potensi PDB rp 245 t",2025/02/18,netral
"Pemain U20, Ji Da Bin Resmi Jadi Brand Ambassador KBstar","pemain U20 , ji da bin resmi jadi brand ambassador kbstar",2024/10/30,netral
"Ada Kabar Baik dari AS, Bitcoin Cs Siap-Siap Pesta Pora","ada kabar baik dari AS , bitcoin cs siap-siap pesta pora",2024/05/23,positif
Bos BEI Buka Suara Soal Dampak Pilpres AS ke IHSG,bos BEI buka suara soal dampak pilpres AS ke IHSG,2024/11/14,netral
Emiten Prajogo (CUAN) Tambah Kepemilikan Saham di PTRO Rp 27 Miliar,emiten prajogo ( CUAN ) tambah kepemilikan saham di PTRO rp 27 miliar,2025/03/13,positif
"Simak, Ini Proyeksi Imbal Hasil & Penerbitan Obligasi RI 2025","simak , ini proyeksi imbal hasil penerbitan obligasi RI 2025",2025/03/19,netral
"RUPS BNI Mau Rombak Pengurus, Nama Ini Calon Kuat Dirut","RUPS BNI mau rombak pengurus , nama ini calon kuat dirut",2025/03/26,netral
5 Sahabat Nabi Muhammad SAW Terkenal Kaya Raya dan Hobi Sedekah,5 sahabat nabi muhammad SAW terkenal kaya raya dan hobi sedekah,2025/03/22,netral
"Hartono Si Cepat Borong 29,56 Juta Saham DMMX Senilai Rp6,7 Miliar",hartono si cepat borong 29.56 juta saham DMMX senilai rp 6.7 miliar,2024/11/28,positif
Bank Maspion Incar Masuk Daftar Top 15 Bank Terbesar di Indonesia,bank maspion incar masuk daftar top 15 bank terbesar di indonesia,2024/10/18,positif
Mesin Uang Orang Terkaya Israel Ternyata Populer di RI,mesin uang orang terkaya israel ternyata populer di RI,2024/02/11,netral
Seluruh Mobil dan Motor Bakal Wajib Asuransi Tahun 2025,seluruh mobil dan motor bakal wajib asuransi tahun 2025,2024/12/27,netral
"Dana Asing Triliunan Kabur dari RI, Ini Penyebab IHSG Anjlok 1% Lebih","dana asing triliunan kabur dari RI , ini penyebab IHSG anjlok 1% lebih",2024/11/11,negatif
Siap-Siap! Bulan Januari Ini Karyawan Terima Gaji Lebih Besar,siap-siap ! bulan januari ini karyawan terima gaji lebih besar,2025/01/04,positif
"Inflasi AS Melandai, IHSG Dibuka Menguat Lagi","inflasi AS melandai , IHSG dibuka menguat lagi",2024/08/15,positif
"AS Bawa Kabar Genting, Waspada Rupiah Bisa Melemah Lagi!","AS bawa kabar genting , waspada rupiah bisa melemah lagi !",2024/10/11,negatif
"Aninditha Bakrie Lepas 16,8 Juta Saham Ancara Logistics (ALII)",aninditha bakrie lepas 16.8 juta saham ancara logistics ( ALII ),2025/03/11,netral
"Cek Gurita Bisnis Salim, Raja Mie Instan hingga Tambang Emas RI","cek gurita bisnis salim , raja mie instan hingga tambang emas RI",2024/11/30,netral
"Masyarakat RI Masih Belum Minat Beli Asuransi, Apa Kabar Reasuransi?","masyarakat RI masih belum minat beli asuransi , apa kabar reasuransi ?",2024/12/18,netral
Deretan Konglomerat Ini Hadiri Peluncuran Danantara,deretan konglomerat ini hadiri peluncuran danantara,2025/02/24,netral
"Breaking, IHSG Dibuka Ambruk 1% Lebih Balik ke Level 6.600","breaking , IHSG dibuka ambruk 1% lebih balik ke level 6.600",2025/02/10,negatif
"Disebut Jadi Calon Ibu Negara, Segini Harta Titiek Soeharto","disebut jadi calon ibu negara , segini harta titiek soeharto",2024/02/15,netral
"Akibat Bencana Gempa Myanmar, Bursa Thailand Disuspensi","akibat bencana gempa myanmar , bursa thailand disuspensi",2025/03/28,negatif
"5 Orang Terkaya di RI, Ada yang Hartanya Naik Rp 32,7 Triliun Sehari","5 orang terkaya di RI , ada yang hartanya naik rp 32.7 triliun sehari",2025/03/07,netral
"The Fed Rilis Risalah Rapat, Dolar Menguat Sentuh Rp16.200","the fed rilis risalah rapat , dolar menguat sentuh rp 16.200",2025/01/09,negatif
"Harga Terbang 143% Dalam Sepekan, BEI Gembok Saham FMII","harga terbang 143% dalam sepekan , BEI gembok saham FMII",2024/11/11,negatif
"IHSG Loyo Lagi, Bren Jadi Penekan Terbesar","IHSG loyo lagi , bren jadi penekan terbesar",2024/10/03,negatif
"Window Dressing Akhir Tahun Bakal Meriah, Incar Saham Ini","window dressing akhir tahun bakal meriah , incar saham ini",2024/12/02,positif
"Wall Street Menghijau Lagi, Bakal Happy Weekend?","wall street menghijau lagi , bakal happy weekend ?",2024/01/12,positif
Hashim Djojohadikusumo Janji Tidak Divestasi Saham WIFI,hashim djojohadikusumo janji tidak divestasi saham WIFI,2025/02/07,netral
"Cetak Laba Rp 3 T, Unilever (UNVR) Masih Catatkan Profit","cetak laba rp 3 T , unilever ( UNVR ) masih catatkan profit",2024/10/23,positif
Deretan Emiten yang Terafiliasi Calon Menteri Kabinet Prabowo,deretan emiten yang terafiliasi calon menteri kabinet prabowo,2024/10/16,netral
"Jokowi Lengser Bulan Depan, Segini Hartanya Vs 6 Presiden RI","jokowi lengser bulan depan , segini hartanya vs 6 presiden RI",2024/09/07,netral
"Pasar Kripto Tiba-Tiba Loyo, Ini Biang Keroknya..","pasar kripto tiba-tiba loyo , ini biang keroknya . .",2024/09/15,negatif
"Naik 22,05%, Laba PGN (PGAS) Tembus Rp 5,63 Triliun","naik 22.05% , laba PGN ( PGAS ) tembus rp 5.63 triliun",2025/03/26,positif
"Bisnis Tekstil Berat, Pan Brothers Rugi di 2023","bisnis tekstil berat , pan brothers rugi di 2023",2024/03/31,negatif
"Jadi Calon Presiden AS Gantikan Biden, Segini Harta Kamala Harris","jadi calon presiden AS gantikan biden , segini harta kamala harris",2024/07/22,netral
"Kejagung Bicara Soal Keterbukaan Informasi Publik, Banyak Kasus?","kejagung bicara soal keterbukaan informasi publik , banyak kasus ?",2024/05/22,netral
"Investor Wajib Tahu, Ini Jadwal Libur Bursa Tahun 2025","investor wajib tahu , ini jadwal libur bursa tahun 2025",2024/10/17,netral
Transformasi Digital dan Ekspansi Strategis Bawa Aset BNI Tumbuh Pesat,transformasi digital dan ekspansi strategis bawa aset BNI tumbuh pesat,2024/09/26,positif
"IHSG Berbalik Merah, 5 Saham Ini Biang Keroknya","IHSG berbalik merah , 5 saham ini biang keroknya",2024/10/09,negatif
Warren Buffet Blak-Blakan Ungkap 7 Kebiasaan Bikin Orang Susah Kaya,warren buffet blak-blakan ungkap 7 kebiasaan bikin orang susah kaya,2024/12/26,netral
"Gonjang-Ganjing AS Goyang Pasar Kripto, Bitcoin Ambruk ke US$ 58.000","gonjang-ganjing AS goyang pasar kripto , bitcoin ambruk ke US 58.000",2024/08/05,negatif
"Sukses Rampok Emas 960 Kg di RI, Terbongkar Akibat Ulah Istri","sukses rampok emas 960 kg di RI , terbongkar akibat ulah istri",2024/07/30,negatif
"Waskita Toll Road Buyback 53,7 Juta Lembar Saham Anak Usaha",waskita toll road buyback 53.7 juta lembar saham anak usaha,2024/11/18,positif
"Pemerintah Godok Student Loan, Danacita Ajukan Diri Jadi Penasihat","pemerintah godok student loan , danacita ajukan diri jadi penasihat",2024/02/02,netral
"6 Emiten Bakal Tebar Dividen Pekan Ini, Cek Jadwalnya","6 emiten bakal tebar dividen pekan ini , cek jadwalnya",2024/11/04,positif
"Mudahkan Transaksi Masyarakat, Agen BRILink Tersebar Hingga Pelosok","mudahkan transaksi masyarakat , agen brilink tersebar hingga pelosok",2025/03/05,positif
Erick Angkat Jeffry Haryadi Manullang Sebagai Direktur Utama PT ASABRI,erick angkat jeffry haryadi manullang sebagai direktur utama PT ASABRI,2024/09/10,netral
"Bikin Sayembara Rp 8 Miliar, Segini Harta Kekayaan Maruarar Sirait","bikin sayembara rp 8 miliar , segini harta kekayaan maruarar sirait",2024/11/29,netral
"Bunga Fintech Turun, AFPI: Target Pertumbuhan Kredit 2024 Melambat","bunga fintech turun , AFPI : target pertumbuhan kredit 2024 melambat",2024/02/21,negatif
"Indofarma (INAF) Rugi Rp166,48 Miliar per September 2024",indofarma ( INAF ) rugi rp 166.48 miliar per september 2024,2024/10/31,negatif
"Tak Awasi Transaksi Klien, JPMorgan Kena Denda Rp5,44 Triliun","tak awasi transaksi klien , jpmorgan kena denda rp 5.44 triliun",2024/03/15,negatif
"Neraca Dagang RI Surplus Tipis, Dolar Naik ke Rp 15.690","neraca dagang RI surplus tipis , dolar naik ke rp 15.690",2024/08/15,negatif
"Menanti Sabda Jokowi, Rupiah Siap Lanjut Menguat Lagi!","menanti sabda jokowi , rupiah siap lanjut menguat lagi !",2024/08/16,positif
"Dari Sukarno hingga Prabowo, Ini Daftar Kekayaan Presiden RI","dari sukarno hingga prabowo , ini daftar kekayaan presiden RI",2024/09/11,netral
"IHSG Dibuka Naik Terbatas, Bakal Balik ke Level 7.400?","IHSG dibuka naik terbatas , bakal balik ke level 7.400?",2024/11/13,positif
"Efek Saham, Harta Prajogo Pangestu Berkurang Rp 13,44 T","efek saham , harta prajogo pangestu berkurang rp 13.44 t",2024/11/05,netral
OJK Ungkap Ancaman Lemahnya Aktivitas Perekonomian Global,OJK ungkap ancaman lemahnya aktivitas perekonomian global,2024/11/01,negatif
"Jepang & AS Jadi Sorotan, Dolar Naik ke Rp16.315/US$","jepang AS jadi sorotan , dolar naik ke rp 16.315us",2024/07/30,negatif
"Pendapatan Telkom (TLKM) Naik Jadi Rp37 T, Pos Ini Penyumbang Terbesar","pendapatan telkom ( TLKM ) naik jadi rp 37 T , pos ini penyumbang terbesar",2024/04/18,positif
"Rupiah Menguat Jelang Lebaran, Dolar Ditutup Turun ke Rp16.555","rupiah menguat jelang lebaran , dolar ditutup turun ke rp 16.555",2025/03/27,positif
"Breaking! Rupiah Menguat, Dolar Turun ke Rp 15.720","breaking ! rupiah menguat , dolar turun ke rp 15.720",2024/08/14,positif
"Pendapatan Anak Usaha TUGU Melesat, Ini Penjelasannya","pendapatan anak usaha TUGU melesat , ini penjelasannya",2024/11/22,positif
"Sarana Multi Infrastruktur Rilis Obligasi Rp2,75 T, Bunga 6,4%-6,9%","sarana multi infrastruktur rilis obligasi rp 2.75T , bunga 6.4%-6.9%",2025/03/12,positif
"Diundang Prabowo, Ray Dalio Bakal Jadi Dewan Penasehat Danantara?","diundang prabowo , ray dalio bakal jadi dewan penasehat danantara ?",2025/03/07,netral
"Buah Transformasi dan Penyehatan Bisnis, WIKA Catat Kinerja Positif","buah transformasi dan penyehatan bisnis , WIKA catat kinerja positif",2025/03/27,positif
Bos BI Izin ke DPR: Anggaran Cadangan Untuk Renovasi-Sekolah Pegawai,bos BI izin ke DPR : anggaran cadangan untuk renovasi-sekolah pegawai,2024/11/06,netral
"Dipimpin Rosan Roeslani, Ini Susunan Lengkap Pengurus Danantara","dipimpin rosan roeslani , ini susunan lengkap pengurus danantara",2025/03/24,netral
"Saham Jatuh, Asing Banyak Lepas Emiten Salim (AMMN)","saham jatuh , asing banyak lepas emiten salim ( AMMN )",2024/08/09,negatif
"IHSG Balik Lagi ke Level 7.300, Ini Saham yang Jadi Penopangnya","IHSG balik lagi ke level 7.300 , ini saham yang jadi penopangnya",2024/07/29,positif
Awas Krisis Ekonomi! Dear Generasi Sandwich Begini Cara Atur Uang,awas krisis ekonomi ! dear generasi sandwich begini cara atur uang,2025/03/23,netral
"2024, Laba Maybank Indonesia (BNII) Rp 1,11 Triliun! Turun 36%","2024 , laba maybank indonesia ( BNII ) rp 1.11 triliun ! turun 36%",2025/02/24,negatif
Artajasa-Nutanix Kolaborasi Percepat Transaksi Keuangan dan Adopsi AI,artajasa-nutanix kolaborasi percepat transaksi keuangan dan adopsi AI,2025/03/04,positif
"Duh! IHSG Terkoreksi 1,73% Sepekan, Asing Diam-Diam Borong Saham Ini","duh ! IHSG terkoreksi 1.73% sepekan , asing diam-diam borong saham ini",2024/11/18,positif
"Kisah Pembantu Pakai Gaji Buat Beli Saham, Hasilnya Tak Disangka","kisah pembantu pakai gaji buat beli saham , hasilnya tak disangka",2024/02/17,netral
"Sukses Bobol Emas 960 Kg, Malah Terungkap Akibat Ulah Istri","sukses bobol emas 960 kg , malah terungkap akibat ulah istri",2024/12/07,negatif
"Lalai Jalankan Tugas Manajemen, BISI Berhentikan Direktur Andy Gumala","lalai jalankan tugas manajemen , BISI berhentikan direktur andy gumala",2024/09/26,negatif
"Elang Mahkota (EMTK) Borong Saham Bukalapak (BUKA) Rp 1,17 T",elang mahkota ( EMTK ) borong saham bukalapak ( BUKA ) rp 1.17 t,2024/10/10,positif
"Krom Bank Indonesia (BBSI) Jual Aset Rp 2,95 Miliar",krom bank indonesia ( BBSI ) jual aset rp 2.95 miliar,2024/09/12,negatif
"Investor Asing Masuk Rp 1,93 T ke Pasar RI, Dolar Turun ke Rp 16.275","investor asing masuk rp 1.93 t ke pasar RI , dolar turun ke rp 16.275",2024/07/29,positif
Wih Warga RI Bakal Bisa Pinjam Uang Rp 10 M dari Pinjol P2P Lending,wih warga RI bakal bisa pinjam uang rp 10 m dari pinjol P2P lending,2024/07/18,netral
"Ditopang Kredit Rp 1.336,8 T, BRI (BBRI) Cetak Laba Rp 29,9 T","ditopang kredit rp 1.336.8 T , BRI ( BBRI ) cetak laba rp 29.9 t",2024/07/25,positif
Asing Kompak Lepas BREN Hingga GOTO Saat IHSG Koreksi Tipis,asing kompak lepas BREN hingga GOTO saat IHSG koreksi tipis,2025/01/09,negatif
"Ada Kabar ANZ Lepas Panin, Ini Kata OJK","ada kabar ANZ lepas panin , ini kata OJK",2024/09/12,netral
"Rupiah Bakal Hajar Balik Dolar AS, Bos BI: Nggak Usah Kaget!","rupiah bakal hajar balik dolar AS , bos BI : nggak usah kaget !",2024/05/22,netral
Pejabat IKN Mau Mundur Jika Gagal Hijaukan Istana Garuda dalam 2 Tahun,pejabat IKN mau mundur jika gagal hijaukan istana garuda dalam 2 tahun,2024/08/11,netral
"Jelang Rilis Pertumbuhan Ekonomi, IHSG Dibuka Lesu","jelang rilis pertumbuhan ekonomi , IHSG dibuka lesu",2025/02/05,negatif
"Restrukturisasi Kredit COVID-19 Berakhir, BRI Siapkan Strategi Ini","restrukturisasi kredit covid-19 berakhir , BRI siapkan strategi ini",2024/02/20,netral
"Seret Suami Artis, Ini Rincian Potensi Kerugian Korupsi Timah Rp 271 T","seret suami artis , ini rincian potensi kerugian korupsi timah rp 271 t",2024/03/29,negatif
Orang Terkaya Israel Punya Mesin Uang Populer di RI,orang terkaya israel punya mesin uang populer di RI,2024/03/02,netral
"IHSG Pangkas Koreksi, Saham GOTO Hingga BREN Masih Jadi Beban","IHSG pangkas koreksi , saham GOTO hingga BREN masih jadi beban",2025/03/11,positif
"Daftar Terbaru 10 Orang Terkaya RI, Ada yang Hartanya Lompat Rp96 T","daftar terbaru 10 orang terkaya RI , ada yang hartanya lompat rp 96 t",2025/03/16,netral
"Memecoin Biden Anjlok 66% Usai Mundur dari Pilpres, Kamala Naik 133%","memecoin biden anjlok 66% usai mundur dari pilpres , kamala naik 133%",2024/07/23,negatif
"Asing Ramai Masuk RI, Rupiah Ditutup Menguat!","asing ramai masuk RI , rupiah ditutup menguat !",2024/09/24,positif
"Dibuka Melemah, IHSG Bangkit Diangkat Emiten Prajogo","dibuka melemah , IHSG bangkit diangkat emiten prajogo",2024/12/06,positif
"BRI (BBRI) Cetak Laba Rp60,64 T Sepanjang 2024",BRI ( BBRI ) cetak laba rp 60.64 t sepanjang 2024,2025/02/12,positif
"Targetkan Nol Emisi 2026, Pupuk Indonesia Sulap Karbon Jadi Ini","targetkan nol emisi 2026 , pupuk indonesia sulap karbon jadi ini",2024/07/04,positif
IHSG Dibuka Kuat! Cetak Rekor Tembus 7.806,IHSG dibuka kuat ! cetak rekor tembus 7.806,2024/09/12,positif
Investor Kini Bisa Short Selling Saham dengan Jaminan Rp50 Juta,investor kini bisa short selling saham dengan jaminan rp 50 juta,2024/10/03,netral
"Segini Besaran Uang Pensiun Jokowi, Sudah Mulai Cair","segini besaran uang pensiun jokowi , sudah mulai cair",2024/11/30,netral
"Bursa Asia Pesta Usai The Fed Pangkas Suku Bunga, Nikkei Melesat 2%","bursa asia pesta usai the fed pangkas suku bunga , nikkei melesat 2%",2024/09/19,positif
"Respon Kabinet Menteri Prabowo, IHSG Dibuka Menguat","respon kabinet menteri prabowo , IHSG dibuka menguat",2024/10/21,positif
"Wall Street Stabil, Rekor Baru S&P 500 di Depan Mata","wall street stabil , rekor baru SP 500 di depan mata",2025/01/23,positif
Susunan Lengkap Direksi & Komisaris ID FOOD Usai Dirombak BUMN,susunan lengkap direksi komisaris ID FOOD usai dirombak BUMN,2025/03/20,netral
