judul,text,tanggal,sentimen
"Segini Harta Kekayaan Titiek Soeharto, Diisukan Jadi Ibu Negara RI","segini harta kekayaan titiek soeharto , diisukan jadi ibu negara RI",2024/03/02,netral
"IHSG Berbalik Cerah, 5 Saham Big Cap Ini Jadi Penopang Sesi I","IHSG berbalik cerah , 5 saham big cap ini jadi penopang sesi i",2024/07/22,positif
"BI Siap Tebar Uang Cash Rp 180,9 T di Lebaran 2025",BI siap tebar uang cash rp 180.9 t di lebaran 2025,2025/02/19,positif
KPK Sebut Negara Rugi Ratusan Miliar dari Kasus Dugaan Korupsi BJB,KPK sebut negara rugi ratusan miliar dari kasus dugaan korupsi BJB,2025/03/12,negatif
"Terusir dari RI, Pria ini Malah Jadi Raja Hotel Dunia","terusir dari RI , pria ini malah jadi raja hotel dunia",2024/02/08,netral
"BEI Buka Suara Soal Kedatangan Fore Coffee ke Bursa, Mau IPO?","BEI buka suara soal kedatangan fore coffee ke bursa , mau IPO ?",2025/01/08,netral
"Kepala OIKN Kumpulkan Petinggi BRI, BNI, BCA hingga BTN, Ada Apa?","kepala OIKN kumpulkan petinggi BRI , BNI , BCA hingga BTN , ada apa ?",2025/01/19,netral
Kisah Pendiri Astra Lawan Serangan 'Konspirasi Besar',kisah pendiri astra lawan serangan konspirasi besar,2024/12/19,netral
"Adani Group Jual Seluruh Saham di Adani Wilmar, Nilainya Rp 32 Triliun","adani group jual seluruh saham di adani wilmar , nilainya rp 32 triliun",2024/12/31,negatif
"Rupiah Menguat Jelang RDG BI, Dolar Turun Tipis ke Rp 16.380","rupiah menguat jelang RDG BI , dolar turun tipis ke rp 16.380",2025/03/18,positif
"Tesla Cuan Rp 14 T dalam 3 Bulan Jualan Karbon, Emiten RI Bisa Juga?","tesla cuan rp 14 t dalam 3 bulan jualan karbon , emiten RI bisa juga ?",2024/07/24,positif
"Hadapi 4 Krisis, ADB Kasih Pinjaman Bunga Rendah ke Asia Pasifik","hadapi 4 krisis , ADB kasih pinjaman bunga rendah ke asia pasifik",2024/05/05,positif
"Boy Thohir Borong 7,3 Juta Lembar Saham Adaro (AADI)",boy thohir borong 7.3 juta lembar saham adaro ( AADI ),2025/03/20,positif
"Bursa Asia Kompak Dibuka di Zona Merah, Siaga Satu untuk IHSG","bursa asia kompak dibuka di zona merah , siaga satu untuk IHSG",2024/07/30,negatif
Eksklusif: CEO Indosat (ISAT) Buka-Bukaan Soal Stock Split Saham,eksklusif : CEO indosat ( ISAT ) buka-bukaan soal stock split saham,2024/10/10,netral
"Mau Bangun Pabrik di RI, Produsen Baterai Tesla Cuan Jumbo","mau bangun pabrik di RI , produsen baterai tesla cuan jumbo",2024/02/05,positif
Yield Obligasi AS Kirim Sinyal Kebijakan Trump Ancam Ekonomi Global,yield obligasi AS kirim sinyal kebijakan trump ancam ekonomi global,2025/01/13,negatif
"Jejak Hashim Djojohadikusumo, Pengusaha Besar Adik Prabowo","jejak hashim djojohadikusumo , pengusaha besar adik prabowo",2024/09/02,netral
"Fed Effect Pudar, Dolar Naik Tipis Jadi Rp 16.235","fed effect pudar , dolar naik tipis jadi rp 16.235",2024/08/02,negatif
43 Asuransi & Reasuransi Modal Cekak Belum Penuhi Modal Minimum 2026,43 asuransi reasuransi modal cekak belum penuhi modal minimum 2026,2025/01/24,negatif
"Gelar RUPS, Krakatau Steel Lanjutkan Program Restrukturisasi Utang","gelar RUPS , krakatau steel lanjutkan program restrukturisasi utang",2024/09/05,netral
"Mantap! Bumi Resources Cetak Laba US$ 84,9 Juta di Semester I-2024",mantap ! bumi resources cetak laba US 84.9 juta di semester I-2024,2024/07/31,positif
"Bisa Dipakai di LN, Paylater Bank Mandiri Tembus 100.000 Pengguna","bisa dipakai di LN , paylater bank mandiri tembus 100.000 pengguna",2024/07/31,positif
Siapa Pemilik Ramayana? Ini Dia Sosoknya,siapa pemilik ramayana ? ini dia sosoknya,2024/12/10,netral
"Pendapatan Merosot, Laba Emiten Bus Listrik Bakrie (VKTR) Naik 39%","pendapatan merosot , laba emiten bus listrik bakrie ( VKTR ) naik 39%",2025/03/25,positif
"Demand Meningkat, BUMI Ramal Harga Batu Bara Masih Tinggi","demand meningkat , BUMI ramal harga batu bara masih tinggi",2024/09/10,netral
Tukang Becak Mendadak Kaya Raya Dapat Rp 50 M Semalam,tukang becak mendadak kaya raya dapat rp 50 m semalam,2024/10/19,netral
"IHSG Tertekan, Agus Projo: Satu-Satunya Jalan Buyback Tanpa RUPS","IHSG tertekan , agus projo : satu-satunya jalan buyback tanpa RUPS",2025/03/03,negatif
"Selain Korporasi, BNI (BBNI) Punya 'Tulang Punggung' Bisnis Baru","selain korporasi , BNI ( BBNI ) punya tulang punggung bisnis baru",2024/09/03,positif
"Malaysia Lewat, Volume Transaksi Bursa Karbon RI Lebih Tinggi","malaysia lewat , volume transaksi bursa karbon RI lebih tinggi",2024/09/30,positif
"Netizen Heboh M Banking wondr by BNI Error, Manajemen Buka Suara","netizen heboh m banking wondr by BNI error , manajemen buka suara",2024/11/25,negatif
"Asing Rajin Tanam Modal ke RI, IHSG Melesat 1,42% Pekan Ini","asing rajin tanam modal ke RI , IHSG melesat 1.42% pekan ini",2024/02/03,positif
"IHSG Loyo Ngekor Bursa Global, 5 Saham Ini Jadi Penekannya","IHSG loyo ngekor bursa global , 5 saham ini jadi penekannya",2024/07/25,negatif
Gak Biasa! Harga Minyak Adem Ayem Saat Perang Rusia-Ukraina Panas,gak biasa ! harga minyak adem ayem saat perang rusia-ukraina panas,2024/11/20,netral
"Produksi Emiten CPO Lo Kheng Hong (ANJT) Seret, Ini Penyebabnya","produksi emiten CPO lo kheng hong ( ANJT ) seret , ini penyebabnya",2024/08/28,negatif
"Setoran Pajak Anjlok, Bankir Ungkap Efek Domino Ngeri","setoran pajak anjlok , bankir ungkap efek domino ngeri",2025/03/14,negatif
"Menanti Sabda Jokowi, Rupiah Siap Lanjut Menguat Lagi!","menanti sabda jokowi , rupiah siap lanjut menguat lagi !",2024/08/16,positif
"Ini Kabar Terbaru RPK OJK, Demutualisasi hingga Pembayaran Klaim","ini kabar terbaru RPK OJK , demutualisasi hingga pembayaran klaim",2024/08/19,netral
"Groundbreaking di IKN Bulan Ini, BCA (BBCA) Buka Suara","groundbreaking di IKN bulan ini , BCA ( BBCA ) buka suara",2024/07/16,netral
Garuda Indonesia Jadi Maskapai Penyedia Wifi Terbaik di Dunia,garuda indonesia jadi maskapai penyedia wifi terbaik di dunia,2024/04/08,positif
"Daftar 10 Bank Terbesar di Indonesia, Danamon Kembali Masuk","daftar 10 bank terbesar di indonesia , danamon kembali masuk",2024/12/03,netral
OJK Bantah Terlibat Kasus Suap IPO di Bursa Efek Indonesia,OJK bantah terlibat kasus suap IPO di bursa efek indonesia,2024/08/27,netral
Indonesia Dukung Penerbitan 'Orange Bonds' untuk Kesetaraan Gender,indonesia dukung penerbitan orange bonds untuk kesetaraan gender,2024/07/10,positif
"Para Taipan IHSG Minta Buyback Tanpa RUPS, Bankir Senior Ingatkan Ini","para taipan IHSG minta buyback tanpa RUPS , bankir senior ingatkan ini",2025/03/04,netral
Asing Kompak Lego Saham-Saham Ini Kala IHSG Bangkit 2%,asing kompak lego saham-saham ini kala IHSG bangkit 2%,2025/03/06,negatif
"Ketentuan Terbaru Saldo Minimum BCA, BRI, BNI, dan Bank Mandiri","ketentuan terbaru saldo minimum BCA , BRI , BNI , dan bank mandiri",2024/12/28,netral
"Menguak Misteri ""9 Naga"", Sosok Penguasa Ekonomi Indonesia","menguak misteri "" 9 naga "" , sosok penguasa ekonomi indonesia",2024/06/17,netral
"Waspada Guncangan Rudal Iran ke Israel, Rupiah Rawan Melemah!","waspada guncangan rudal iran ke israel , rupiah rawan melemah !",2024/10/02,negatif
"2023, Premi Asuransi Maximus Tembus Rp1,87 T","2023 , premi asuransi maximus tembus rp 1.87 t",2024/05/30,positif
"Bank Swiss Bekukan Rp 4,77 Triliun Aset 'Tangan Kanan' Adani, Ada Apa?","bank swiss bekukan rp 4.77 triliun aset tangan kanan adani , ada apa ?",2024/09/13,negatif
"IHSG Bergairah Jelang Akhir Pekan, 5 Saham Ini Jadi Penopang","IHSG bergairah jelang akhir pekan , 5 saham ini jadi penopang",2024/08/09,positif
"Belajar dari Manusia Rp 1.900 T, Makan Kaki Lima dan Hormat Orang Tua","belajar dari manusia rp 1.900 T , makan kaki lima dan hormat orang tua",2024/06/15,netral
"Surat Utang RI Masih Diburu Asing Saat Dunia Goncang, Ini Rahasianya!","surat utang RI masih diburu asing saat dunia goncang , ini rahasianya !",2025/01/13,positif
"Rupiah Menguat Usai BPS Rilis Data PDB, Dolar Turun ke Rp 16.260","rupiah menguat usai BPS rilis data PDB , dolar turun ke rp 16.260",2025/02/06,positif
"Abaikan Seruan IMF, El Salvador Terus Serok Bitcoin","abaikan seruan IMF , el salvador terus serok bitcoin",2025/03/11,netral
Begini Ramalan BI Soal Nasib Rupiah di 2025,begini ramalan BI soal nasib rupiah di 2025,2024/12/24,netral
"IHSG Loyo Ke 7.400-an, Saham Ini Jadi Biang Keladinya","IHSG loyo ke 7400-an , saham ini jadi biang keladinya",2024/10/10,negatif
"Cerita Gang of Four, Penguasa Bisnis RI Sebelum Ada 9 Naga","cerita gang of four , penguasa bisnis RI sebelum ada 9 naga",2024/09/03,netral
"OJK Bolehkan Buyback Tanpa RUPS, Emiten Konglomerat dan IHSG Melesat","OJK bolehkan buyback tanpa RUPS , emiten konglomerat dan IHSG melesat",2025/03/20,positif
Top! Mandiri Investasi Raih Most Excellent Sharia Equity Performance,top ! mandiri investasi raih most excellent sharia equity performance,2024/09/25,positif
Laba Emiten Milik Aguan (PANI) Naik 35% di Semester I-2024,laba emiten milik aguan ( PANI ) naik 35% di semester I-2024,2024/08/21,positif
Bos IFG Ungkap Pertanggungjawaban Restrukturisasi Jiwasraya,bos IFG ungkap pertanggungjawaban restrukturisasi jiwasraya,2024/09/17,netral
"Nasib Multifinance, Jatuh Tertekan NIM & Tertimpa Risiko Kredit Macet","nasib multifinance , jatuh tertekan NIM tertimpa risiko kredit macet",2024/06/20,negatif
"Mantap! Waskita Karya Catat Kontribusi ke Negara Naik 116,05%",mantap ! waskita karya catat kontribusi ke negara naik 116.05%,2025/03/27,positif
"Pendapatan Naik, Kok Laba ADMF Turun 6,5% di Semester I-2024?","pendapatan naik , kok laba ADMF turun 6.5% di semester i-2024?",2024/07/30,negatif
Bursa Efek Indonesia Rilis Aturan Efek Beragun Aset,bursa efek indonesia rilis aturan efek beragun aset,2024/10/22,netral
"Kontribusi Tak Sampai 10%, AXA Financial Lepas UUS ke Perusahaan Lain","kontribusi tak sampai 10% , AXA financial lepas UUS ke perusahaan lain",2024/09/09,negatif
"IHSG Merah Lagi, Asing Kompak Lepas Saham Ini","IHSG merah lagi , asing kompak lepas saham ini",2024/07/25,negatif
"Rupiah Ditutup Perkasa, Dolar Tergelincir ke Rp16.125","rupiah ditutup perkasa , dolar tergelincir ke rp 16.125",2025/01/07,positif
"IHSG Dibuka Menguat Lagi, Tapi Kenaikan Langsung Terpangkas","IHSG dibuka menguat lagi , tapi kenaikan langsung terpangkas",2024/07/02,positif
Asing Terciduk Diam-Diam Lego 10 Saham Ini Kala IHSG Ngamuk,asing terciduk diam-diam lego 10 saham ini kala IHSG ngamuk,2024/11/26,negatif
Orang Kaya RI Ada 10 Juta Tapi Doyan 'Buang' Uang di Luar Negeri,orang kaya RI ada 10 juta tapi doyan buang uang di luar negeri,2025/01/15,netral
"Harga Minyak Melemah, Pasar Tunggu Perkembangan Perang Rusia-Ukraina","harga minyak melemah , pasar tunggu perkembangan perang rusia-ukraina",2025/02/24,negatif
Emiten Data Center 'Bill Gates' RI (DCII) Jadi Saham Termahal,emiten data center bill gates RI ( DCII ) jadi saham termahal,2024/09/13,netral
"Rupiah Kembali Perkasa, Dolar Ditutup Turun ke Rp16.280","rupiah kembali perkasa , dolar ditutup turun ke rp 16.280",2025/02/05,positif
"Jelang Pengumuman Suku Bunga, Dolar Turun ke Rp 15.300","jelang pengumuman suku bunga , dolar turun ke rp 15.300",2024/09/18,positif
"Jadwal Operasional BCA, Mandiri, BNI, BRI Libur Waisak 23-24 Mei 2024","jadwal operasional BCA , mandiri , BNI , BRI libur waisak 23-24 mei 2024",2024/05/21,netral
"Duit di Rekening Terkuras Habis, Awas Modus Baru Maling M-Banking","duit di rekening terkuras habis , awas modus baru maling m-banking",2024/11/24,netral
Dua Sektor Ini Kena Tamparan Keras dari Kebijakan Tarif Impor Trump,dua sektor ini kena tamparan keras dari kebijakan tarif impor trump,2025/02/02,negatif
"Rupiah Ambruk, Ada Bank Sudah Jual Dolar AS Rp16.400","rupiah ambruk , ada bank sudah jual dolar AS rp 16.400",2024/12/19,negatif
"Kronologi Kebangkrutan The Body Shop, Ratusan Toko Dijual","kronologi kebangkrutan the body shop , ratusan toko dijual",2024/03/16,netral
Jokowi Ingatkan Nasabah PNM Mekaar Nyicil Tepat Waktu,jokowi ingatkan nasabah PNM mekaar nyicil tepat waktu,2024/02/23,netral
"Terkuak, Ahmad Rafif Pakai Uang Nasabah Buat Gaji, Hotel & Perjalanan","terkuak , ahmad rafif pakai uang nasabah buat gaji , hotel perjalanan",2024/07/10,netral
Siap-Siap! Bulan Januari Ini Karyawan Terima Gaji Lebih Besar,siap-siap ! bulan januari ini karyawan terima gaji lebih besar,2025/01/04,positif
"AXA Mandiri Catat Kenaikan Premi Baru 8%, Pendorongnya Masih Tetap Ini","AXA mandiri catat kenaikan premi baru 8% , pendorongnya masih tetap ini",2025/03/08,positif
"Erick Thohir Tunjuk Maya Watono Jadi Dirut InJourney, Ini Profilnya","erick thohir tunjuk maya watono jadi dirut injourney , ini profilnya",2024/11/22,netral
Harga Minyak Rebound Usai Trump Cabut Lisensi Chevron di Venezuela,harga minyak rebound usai trump cabut lisensi chevron di venezuela,2025/02/27,negatif
Muhammadiyah Keberatan Titah OJK Untuk Merger Semua BPRS Miliknya,muhammadiyah keberatan titah OJK untuk merger semua BPRS miliknya,2024/10/11,netral
"Asing Lagi-Lagi Kompakan Kabur dari Pasar Saham RI, Ada Apa?","asing lagi-lagi kompakan kabur dari pasar saham RI , ada apa ?",2024/11/22,negatif
"Nasabah Prioritas BCA, BRI, BNI, & Mandiri Minimal Punya Duit Segini","nasabah prioritas BCA , BRI , BNI , mandiri minimal punya duit segini",2024/07/29,netral
BEI Sebut Minat Investor Asing Tetap Besar di Pasar Modal Indonesia,BEI sebut minat investor asing tetap besar di pasar modal indonesia,2024/02/15,netral
"Prabowo Sebut Investasi Saham Seperti Judi, Ini Kata OJK","prabowo sebut investasi saham seperti judi , ini kata OJK",2024/12/06,netral
"Tak Jadi IPO, Wamen Tiko Ungkap SugarCo Mau Private Placement","tak jadi IPO , wamen tiko ungkap sugarco mau private placement",2024/03/05,netral
"BI Beri Kabar Penting Hari Ini, Rupiah Siap Happy Weekend!","BI beri kabar penting hari ini , rupiah siap happy weekend !",2024/11/29,positif
"Saham Gocap Mulai Bangkit Dari Kubur, Ini Daftarnya!","saham gocap mulai bangkit dari kubur , ini daftarnya !",2024/08/02,positif
"Kejutan! Iran Serang Israel, Pasar Saham Berjangka AS Malah Rebound","kejutan ! iran serang israel , pasar saham berjangka AS malah rebound",2024/04/15,positif
4 Cara agar Nomor HP Tak Dihubungi Terus oleh Pinjol,4 cara agar nomor HP tak dihubungi terus oleh pinjol,2024/12/27,netral
"IHSG Kurang Tenaga, GOTO Hingga TLKM Jadi Penyelamat","IHSG kurang tenaga , GOTO hingga TLKM jadi penyelamat",2024/07/23,positif
"Pemain U20, Ji Da Bin Resmi Jadi Brand Ambassador KBstar","pemain U20 , ji da bin resmi jadi brand ambassador kbstar",2024/10/30,netral
"Saham Ambruk, Harta Prajogo Menguap Rp 180 T dalam Hitungan Menit","saham ambruk , harta prajogo menguap rp 180 t dalam hitungan menit",2024/09/20,negatif
"Inflasi AS Lanjut Melandai, Rupiah Mulai Berbalik Arah Menguat!","inflasi AS lanjut melandai , rupiah mulai berbalik arah menguat !",2024/10/11,positif
Bos BTPN Blak-blakan Ungkap Alasan Ganti Nama Jadi SMBC,bos BTPN blak-blakan ungkap alasan ganti nama jadi SMBC,2024/10/10,netral
"OJK: Kredit Perbankan Naik 10,92% per Oktober 2024",OJK : kredit perbankan naik 10.92% per oktober 2024,2024/12/13,positif
Cerita Penyelamatan Garuda Hingga Tak Jadi Disuntik Mati,cerita penyelamatan garuda hingga tak jadi disuntik mati,2024/10/08,netral
Kalbe Farma (KLBF) Perluas Bisnis Obat Resep di Thailand,kalbe farma ( KLBF ) perluas bisnis obat resep di thailand,2024/05/30,positif
"DPR Sorot Korupsi di Dapen BUMN, Bos Taspen Buka Suara","DPR sorot korupsi di dapen BUMN , bos taspen buka suara",2024/06/26,negatif
"Dapat Kado Saham Batu Bara Rp 122 T, Ini Profil Elaine Low","dapat kado saham batu bara rp 122 T , ini profil elaine low",2024/09/03,netral
"Dari Peternakan Sapi, Sosok Ini Jadi Wanita Terkaya Berbekal Mimpi","dari peternakan sapi , sosok ini jadi wanita terkaya berbekal mimpi",2024/05/30,netral
"Terlibat Program 3 Juta Rumah, Pandu Sjahrir Ungkap Peran Danantara","terlibat program 3 juta rumah , pandu sjahrir ungkap peran danantara",2025/02/12,netral
"Ramalan Bitcoin Paling Gila 2024, Naik 1.000% Jadi US$500.000","ramalan bitcoin paling gila 2024 , naik 1.000% jadi us 500.000",2024/01/01,netral
Kebiasaan Warga RI yang Bisa Bikin Miskin Menurut Lo Kheng Hong,kebiasaan warga RI yang bisa bikin miskin menurut lo kheng hong,2024/02/17,netral
"Mau IPO, Begini Jeroan Keuangan Kopi FORE","mau IPO , begini jeroan keuangan kopi FORE",2025/03/19,netral
"Jokowi Bocorin RI Mau Nambah 10% Saham Freeport, Ini Infonya","jokowi bocorin RI mau nambah 10% saham freeport , ini infonya",2024/09/23,positif
"IHSG Ambruk 4 Hari, Kemarin Asing Kompak Incar Saham Ini","IHSG ambruk 4 hari , kemarin asing kompak incar saham ini",2025/02/11,positif
"Utang RI ke Jerman Rp1,26 T Dialihkan ke Program Kesehatan TBC-HIV",utang RI ke jerman rp 1.26 t dialihkan ke program kesehatan tbc-hiv,2024/12/17,netral
"Pendapatan Turun, Begini Kinerja Keuangan Pizza Hut (PZZA) Q3/2024","pendapatan turun , begini kinerja keuangan pizza hut ( PZZA ) q32024",2024/11/05,negatif
"Setelah Dihapus Tagih, Apakah Bisa Dapat Kredit Baru?","setelah dihapus tagih , apakah bisa dapat kredit baru ?",2024/11/20,netral
Ternyata Ini Alasan Tony Blair Masuk Dewan Pengawas Danantara,ternyata ini alasan tony blair masuk dewan pengawas danantara,2025/02/26,netral
IHSG Anjlok 4% Lebih Perlu Trading Halt? Ini Kata BEI,IHSG anjlok 4% lebih perlu trading halt ? ini kata BEI,2024/08/05,negatif
"Terima Kasih The Fed, IHSG Dibuka Sumringah","terima kasih the fed , IHSG dibuka sumringah",2024/11/08,positif
Sunindo (SUNI) Bagikan Dividen Rp 11 Miliar Ke Pemegang Saham,sunindo ( SUNI ) bagikan dividen rp 11 miliar ke pemegang saham,2024/06/12,positif
"Daftar Suku Bunga Deposito Bank Digital Terbaru, Ada yang 10%","daftar suku bunga deposito bank digital terbaru , ada yang 10%",2024/03/01,netral
"Valuasi Jumbo, Kok Laba Bersih BREN Kalah Jauh dari PGEO?","valuasi jumbo , kok laba bersih BREN kalah jauh dari PGEO ?",2024/03/19,netral
"Geger Crazy Rich Asia Hilang Duit Rp 872 T dalam Seminggu, Ada Apa?","geger crazy rich asia hilang duit rp 872 t dalam seminggu , ada apa ?",2024/11/28,negatif
Meneropong Nasib Rupiah Menanti Kebijakan Pemerintahan Prabowo,meneropong nasib rupiah menanti kebijakan pemerintahan prabowo,2024/10/22,netral
Sah! BSI (BRIS) Resmi Dapat Izin Bangun Bullion Bank,sah ! BSI ( BRIS ) resmi dapat izin bangun bullion bank,2025/02/13,positif
"Jadi Penyelamat IHSG, Saham TLKM Ngacir Nyaris 5%","jadi penyelamat IHSG , saham TLKM ngacir nyaris 5%",2024/07/17,positif
"Lewat Event Ini, BNI Cari Strategi Hadapi Tantangan Ekonomi","lewat event ini , BNI cari strategi hadapi tantangan ekonomi",2024/10/01,positif
Ternyata Wamenkeu Thomas Djiwandono Cicit Pendiri BNI,ternyata wamenkeu thomas djiwandono cicit pendiri BNI,2024/07/18,netral
KB Bank Pelopori Penilaian Kredit Berbasis AI di Indonesia,KB bank pelopori penilaian kredit berbasis AI di indonesia,2024/07/22,positif
"Pemilik Emas Makin Cuan, Harga Emas Pegadaian Naik Lagi Hari Ini","pemilik emas makin cuan , harga emas pegadaian naik lagi hari ini",2024/06/16,positif
Bos Mandiri (BMRI) Bocorkan Besaran Dividen 2024,bos mandiri ( BMRI ) bocorkan besaran dividen 2024,2024/09/30,positif
Nasib Rupiah Ditentukan Bank Indonesia Hari Ini!,nasib rupiah ditentukan bank indonesia hari ini !,2025/02/19,netral
"Bursa Saham AS Anjlok, Pasar Kripto Ikut Ambruk di Zona Merah","bursa saham AS anjlok , pasar kripto ikut ambruk di zona merah",2024/07/18,negatif
Asisten Virtual BRI 'Sabrina' Siap Temani Penuhi Kebutuhan Lebaran,asisten virtual BRI sabrina siap temani penuhi kebutuhan lebaran,2024/04/09,netral
"Airlangga Ungkap Penyebab IHSG Anjlok, Segera Lapor Prabowo!","airlangga ungkap penyebab IHSG anjlok , segera lapor prabowo !",2025/03/18,negatif
"Asuransi Jasindo Bayar Klaim Gagal Panen Petani Rp 1,1 Miliar",asuransi jasindo bayar klaim gagal panen petani rp 1.1 miliar,2024/01/29,negatif
"Lawan Inflasi, Beli Obligasi di Ajaib Bisa Kapan Saja","lawan inflasi , beli obligasi di ajaib bisa kapan saja",2024/02/29,netral
"Gawat! Indeks Nikkei Anjlok 4% Lebih, Awas Nular ke IHSG","gawat ! indeks nikkei anjlok 4% lebih , awas nular ke IHSG",2024/09/30,negatif
"Soal BUMN Jadi Koperasi, Wamen Tiko Buka Suara","soal BUMN jadi koperasi , wamen tiko buka suara",2024/02/07,netral
"Harta Karun Rp 15 T Diambil Pemerintah, Penemu Malah Dibiarkan Melarat","harta karun rp 15 t diambil pemerintah , penemu malah dibiarkan melarat",2025/02/23,negatif
"Ada Dukungan DHE & 8 Kebijakan Ekonomi, Rupiah Siap Hijau Lagi?","ada dukungan DHE 8 kebijakan ekonomi , rupiah siap hijau lagi ?",2025/02/18,positif
"Simak! Analisa 5 Ekonom Soal BI Rate Turun Jadi 5,75%",simak ! analisa 5 ekonom soal BI rate turun jadi 5.75%,2025/01/16,netral
