judul,text,tokens,tanggal,sentimen
"Catat, inI 7 Faktor yang Mempengaruhi Harga Kripto","catat , ini 7 faktor yang mempengaruhi harga kripto","['catat', ',', 'ini', '7', 'faktor', 'yang', 'mempengaruhi', 'harga', 'kri', '##pt', '##o']",2024/01/04,netral
"Panasnya Data Pekerja AS, Bikin Wall Street Makin Ambles","panasnya data pekerja AS , bikin wall street makin ambles","['panasnya', 'data', 'pekerja', 'as', ',', 'bikin', 'wall', 'street', 'makin', 'amb', '##les']",2024/01/05,negatif
"Kabar Hengkang dari Proyek IKN, Wings & Djarum Grup Buka Suara","kabar hengkang dari proyek IKN , wings djarum grup buka suara","['kabar', 'hengkang', 'dari', 'proyek', 'ik', '##n', ',', 'wing', '##s', 'djarum', 'grup', 'buka', 'suara']",2024/01/05,netral
"Duit Miliaran Raib, Satu Petinggi Bank Victoria Syariah Tersangka!","duit miliaran raib , satu petinggi bank victoria syariah tersangka !","['duit', 'miliaran', 'rai', '##b', ',', 'satu', 'petinggi', 'bank', 'victoria', 'syariah', 'tersangka', '!']",2024/01/05,negatif
IHSG Gagal Happy Weekend Setelah Cetak Rekor Baru,IHSG gagal happy weekend setelah cetak rekor baru,"['ihsg', 'gagal', 'happy', 'weekend', 'setelah', 'cetak', 'rekor', 'baru']",2024/01/05,negatif
"BEI Tunjuk Sekuritas Jadi Market Maker, Selama Ini Bagaimana?","BEI tunjuk sekuritas jadi market maker , selama ini bagaimana ?","['bei', 'tunjuk', 'sekuritas', 'jadi', 'market', 'maker', ',', 'selama', 'ini', 'bagaimana', '?']",2024/01/05,netral
Sah! PTPP Energi Divestasi Saham Inpola Meka Energi,sah ! PTPP energi divestasi saham inpola meka energi,"['sah', '!', 'pt', '##pp', 'energi', 'div', '##estasi', 'saham', 'in', '##pol', '##a', 'mek', '##a', 'energi']",2024/01/05,positif
"Data AS Bikin Deg-degan, Dolar Naik ke Rp 15.500-an","data AS bikin deg-degan , dolar naik ke rp 15500-an","['data', 'as', 'bikin', 'deg', '-', 'degan', ',', 'dolar', 'naik', 'ke', 'rp', '155', '##00', '-', 'an']",2024/01/05,negatif
"Punya Harta Rp 173 T, Ini Sosok Taipan Paling Misterius di Dunia","punya harta rp 173 T , ini sosok taipan paling misterius di dunia","['punya', 'harta', 'rp', '173', 't', ',', 'ini', 'sosok', 'tai', '##pan', 'paling', 'misterius', 'di', 'dunia']",2024/01/05,netral
"Soekarno Sampai Jokowi, Siapa Presiden RI Terkaya Vs Termiskin?","soekarno sampai jokowi , siapa presiden RI terkaya vs termiskin ?","['soekarno', 'sampai', 'jokowi', ',', 'siapa', 'presiden', 'ri', 'terkaya', 'vs', 'term', '##iskin', '?']",2024/01/06,netral
"Naik, Cek Daftar Terbaru Biaya Administrasi & Limit Transaksi Bank BCA","naik , cek daftar terbaru biaya administrasi limit transaksi bank BCA","['naik', ',', 'cek', 'daftar', 'terbaru', 'biaya', 'administrasi', 'limit', 'transaksi', 'bank', 'bca']",2024/01/06,netral
"Aturan Pinjol Terbaru, Berlaku Mulai Tahun Ini","aturan pinjol terbaru , berlaku mulai tahun ini","['aturan', 'pinj', '##ol', 'terbaru', ',', 'berlaku', 'mulai', 'tahun', 'ini']",2024/01/06,netral
Mesin Uang Orang Terkaya Israel Ternyata Disukai Warga RI,mesin uang orang terkaya israel ternyata disukai warga RI,"['mesin', 'uang', 'orang', 'terkaya', 'israel', 'ternyata', 'disukai', 'warga', 'ri']",2024/01/06,netral
"8 SBN Ritel akan Terbit Tahun 2024, Intip Jadwalnya!","8 SBN ritel akan terbit tahun 2024 , intip jadwalnya !","['8', 'sb', '##n', 'ritel', 'akan', 'terbit', 'tahun', '202', '##4', ',', 'intip', 'jadwal', '##nya', '!']",2024/01/06,netral
"Awal 2024, Bank Bangkrut di RI Tambah Satu","awal 2024 , bank bangkrut di RI tambah satu","['awal', '202', '##4', ',', 'bank', 'bangkrut', 'di', 'ri', 'tambah', 'satu']",2024/01/06,negatif
DI IKN Grup Wings dan Djarum Bukan Investasi Komersial,DI IKN grup wings dan djarum bukan investasi komersial,"['di', 'ik', '##n', 'grup', 'wing', '##s', 'dan', 'djarum', 'bukan', 'investasi', 'komersial']",2024/01/06,netral
"Jadi Sorotan Publik, Ternyata Ini Raja Debt Collector RI","jadi sorotan publik , ternyata ini raja debt collector RI","['jadi', 'sorotan', 'publik', ',', 'ternyata', 'ini', 'raja', 'deb', '##t', 'coll', '##ector', 'ri']",2024/01/07,netral
"Pasok Pasar Domestik, Target Produksi Inalum Tahun Ini 274.140 Ton","pasok pasar domestik , target produksi inalum tahun ini 274.140 ton","['pas', '##ok', 'pasar', 'domestik', ',', 'target', 'produksi', 'ina', '##lum', 'tahun', 'ini', '27', '##4', '.', '140', 'ton']",2024/01/07,positif
"Tahun Ini Lengser, Ternyata Segini Uang Pensiun Jokowi","tahun ini lengser , ternyata segini uang pensiun jokowi","['tahun', 'ini', 'leng', '##ser', ',', 'ternyata', 'segi', '##ni', 'uang', 'pensiun', 'jokowi']",2024/01/07,netral
"Kejanggalan & Pemufakatan Jahat Pembelian Emas Antam Rp3,5 T Budi Said",kejanggalan pemufakatan jahat pembelian emas antam rp 3.5 t budi said,"['kejanggalan', 'pemu', '##fak', '##atan', 'jahat', 'pembelian', 'emas', 'antam', 'rp', '3', '.', '5', 't', 'budi', 'said']",2024/01/07,negatif
"Disebut Gibran-Mahfud, Ini Daftar Terbaru Investor IKN Pimpinan Aguan","disebut gibran-mahfud , ini daftar terbaru investor IKN pimpinan aguan","['disebut', 'gib', '##ran', '-', 'mahfud', ',', 'ini', 'daftar', 'terbaru', 'investor', 'ik', '##n', 'pimpinan', 'agu', '##an']",2024/01/07,netral
"OJK Ungkap 6 Multifinance RI Mati di 2023, 8 Lainnya Menghitung Hari","OJK ungkap 6 multifinance RI mati di 2023 , 8 lainnya menghitung hari","['ojk', 'ungkap', '6', 'multif', '##inan', '##ce', 'ri', 'mati', 'di', '202', '##3', ',', '8', 'lainnya', 'menghitung', 'hari']",2024/01/07,negatif
"Wall Street Dibuka Sedikit Cerah, Bakal Bertahan Lama?","wall street dibuka sedikit cerah , bakal bertahan lama ?","['wall', 'street', 'dibuka', 'sedikit', 'cerah', ',', 'bakal', 'bertahan', 'lama', '?']",2024/01/08,positif
"Marak Penipuan di WA, Mahfud MD Minta OJK Lakukan Ini","marak penipuan di WA , mahfud MD minta OJK lakukan ini","['marak', 'penipuan', 'di', 'wa', ',', 'mahfud', 'md', 'minta', 'ojk', 'lakukan', 'ini']",2024/01/08,negatif
"4 Emiten Gelar Rights Issue di Awal Tahun, Ini Daftarnya","4 emiten gelar rights issue di awal tahun , ini daftarnya","['4', 'emiten', 'gelar', 'rights', 'issue', 'di', 'awal', 'tahun', ',', 'ini', 'daftar', '##nya']",2024/01/08,positif
"Perang Lawan Saham Gorengan, Prabowo - Gibran Mau Bikin Ini","perang lawan saham gorengan , prabowo - gibran mau bikin ini","['perang', 'lawan', 'saham', 'gorengan', ',', 'prabowo', '-', 'gib', '##ran', 'mau', 'bikin', 'ini']",2024/01/08,netral
"Punya Predikat Perusahaan Terbesar RI, Begini Prospek BBRI","punya predikat perusahaan terbesar RI , begini prospek BBRI","['punya', 'predikat', 'perusahaan', 'terbesar', 'ri', ',', 'begini', 'prospek', 'bb', '##ri']",2024/01/08,netral
"Heboh Hotman Paris Protes Pajak Hiburan 40%, Ini Jawab DJP!","heboh hotman paris protes pajak hiburan 40% , ini jawab DJP !","['heboh', 'hot', '##man', 'paris', 'protes', 'pajak', 'hiburan', '40', '%', ',', 'ini', 'jawab', 'dj', '##p', '!']",2024/01/08,netral
"Banyak Saham IPO Terjun Bebas, Tim Ganjar-Mahfud Bilang Gini","banyak saham IPO terjun bebas , tim ganjar-mahfud bilang gini","['banyak', 'saham', 'ip', '##o', 'terjun', 'bebas', ',', 'tim', 'ganja', '##r', '-', 'mahfud', 'bilang', 'gini']",2024/01/08,negatif
Cabang BSI Mulai Buka Layanan Weekend Banking,cabang BSI mulai buka layanan weekend banking,"['cabang', 'bs', '##i', 'mulai', 'buka', 'layanan', 'weekend', 'banking']",2024/01/08,netral
"IHSG Berbalik Lesu, 8 Saham Big Cap Ini Biang Keroknya","IHSG berbalik lesu , 8 saham big cap ini biang keroknya","['ihsg', 'berbalik', 'lesu', ',', '8', 'saham', 'big', 'cap', 'ini', 'biang', 'ker', '##oknya']",2024/01/08,negatif
Anies-Cak Imin Mau Jagokan Teknologi Buat Dorong Markep Cap Bursa,anies-cak imin mau jagokan teknologi buat dorong markep cap bursa,"['anies', '-', 'cak', 'im', '##in', 'mau', 'jago', '##kan', 'teknologi', 'buat', 'dorong', 'mark', '##ep', 'cap', 'bursa']",2024/01/08,positif
"Cadev Indonesia Tertinggi 2 Tahun Terakhir, Rupiah Tetap Turun","cadev indonesia tertinggi 2 tahun terakhir , rupiah tetap turun","['cad', '##ev', 'indonesia', 'tertinggi', '2', 'tahun', 'terakhir', ',', 'rupiah', 'tetap', 'turun']",2024/01/08,negatif
"Pabrik Air minum Pertama IKN Beroperasi, Milik Crazy Rich Surabaya","pabrik air minum pertama IKN beroperasi , milik crazy rich surabaya","['pabrik', 'air', 'minum', 'pertama', 'ik', '##n', 'beroperasi', ',', 'milik', 'cra', '##zy', 'rich', 'surabaya']",2024/01/08,positif
"Unjuk Rasa di PN Jakpus, Aliansi Korban Wanaartha Protes Ini","unjuk rasa di PN jakpus , aliansi korban wanaartha protes ini","['unjuk', 'rasa', 'di', 'pn', 'jak', '##pus', ',', 'aliansi', 'korban', 'wan', '##aa', '##rt', '##ha', 'protes', 'ini']",2024/01/08,negatif
"14 BUMN Pasien PPA Dikaji 9 Bulan, Bakal Ada yang Tutup Lagi ?","14 BUMN pasien PPA dikaji 9 bulan , bakal ada yang tutup lagi ?","['14', 'bumn', 'pasien', 'pp', '##a', 'dikaji', '9', 'bulan', ',', 'bakal', 'ada', 'yang', 'tutup', 'lagi', '?']",2024/01/08,negatif
"14 BUMN 'Sakit' Udah 9 Bulan Dipelototin PPA, Ini Daftarnya","14 BUMN sakit udah 9 bulan dipelototin PPA , ini daftarnya","['14', 'bumn', 'sakit', 'udah', '9', 'bulan', 'dipel', '##otot', '##in', 'pp', '##a', ',', 'ini', 'daftar', '##nya']",2024/01/08,negatif
"Heboh Wings dan Djarum Group Hengkang dari IKN, Siapa Pemiliknya?","heboh wings dan djarum group hengkang dari IKN , siapa pemiliknya ?","['heboh', 'wing', '##s', 'dan', 'djarum', 'group', 'hengkang', 'dari', 'ik', '##n', ',', 'siapa', 'pemiliknya', '?']",2024/01/08,netral
Kupas Strategi J Trust Bank dalam Menjaga Pertumbuhan di 2024,kupas strategi j trust bank dalam menjaga pertumbuhan di 2024,"['kupas', 'strategi', 'j', 'trust', 'bank', 'dalam', 'menjaga', 'pertumbuhan', 'di', '202', '##4']",2024/01/08,netral
"Baru IPO, Emiten Gas Ini Udah Patok Jualan Naik 4 Kali Lipat","baru IPO , emiten gas ini udah patok jualan naik 4 kali lipat","['baru', 'ip', '##o', ',', 'emiten', 'gas', 'ini', 'udah', 'pat', '##ok', 'jualan', 'naik', '4', 'kali', 'lipat']",2024/01/08,positif
Deretan Sektor Saham yang Bawa Cuan di Tahun Politik,deretan sektor saham yang bawa cuan di tahun politik,"['deretan', 'sektor', 'saham', 'yang', 'bawa', 'cu', '##an', 'di', 'tahun', 'politik']",2024/01/08,netral
"Wall Street Galau Parah, Hari Ini Dibuka Merana Lagi","wall street galau parah , hari ini dibuka merana lagi","['wall', 'street', 'galau', 'parah', ',', 'hari', 'ini', 'dibuka', 'mera', '##na', 'lagi']",2024/01/09,negatif
"Awas, Bos OJK Bocorkan Ada Modus Penipuan Baru yang Meresahkan","awas , bos OJK bocorkan ada modus penipuan baru yang meresahkan","['awas', ',', 'bos', 'ojk', 'bocor', '##kan', 'ada', 'modus', 'penipuan', 'baru', 'yang', 'meresahkan']",2024/01/09,negatif
Chaebol: Cerita 5 Keluarga yang Kendalikan Ekonomi Korea Selatan,chaebol : cerita 5 keluarga yang kendalikan ekonomi korea selatan,"['cha', '##ebol', ':', 'cerita', '5', 'keluarga', 'yang', 'kendali', '##kan', 'ekonomi', 'korea', 'selatan']",2024/01/09,netral
Bendungan Garapan WIKA Ini Sukses Diresmikan Jokowi,bendungan garapan WIKA ini sukses diresmikan jokowi,"['bendungan', 'garapan', 'wika', 'ini', 'sukses', 'diresmikan', 'jokowi']",2024/01/09,positif
"Antisipasi Ancaman Global, OJK Bakal Lakukan Ini","antisipasi ancaman global , OJK bakal lakukan ini","['antisipasi', 'ancaman', 'global', ',', 'ojk', 'bakal', 'lakukan', 'ini']",2024/01/09,netral
Rupiah Putus Tren Pelemahan 5 Hari Beruntun Gegara Data BI,rupiah putus tren pelemahan 5 hari beruntun gegara data BI,"['rupiah', 'putus', 'tren', 'pelemahan', '5', 'hari', 'beruntun', 'geg', '##ara', 'data', 'bi']",2024/01/09,positif
Bos BMRI Beberkan Strategi Kunci dan Tantangan 2024,bos BMRI beberkan strategi kunci dan tantangan 2024,"['bos', 'bm', '##ri', 'beber', '##kan', 'strategi', 'kunci', 'dan', 'tantangan', '202', '##4']",2024/01/09,netral
"Tahun Politik Ramai Perusahaan Politisi Galang Dana IPO, Apa Kata BEI?","tahun politik ramai perusahaan politisi galang dana IPO , apa kata BEI ?","['tahun', 'politik', 'ramai', 'perusahaan', 'politisi', 'galang', 'dana', 'ip', '##o', ',', 'apa', 'kata', 'bei', '?']",2024/01/09,netral
Nyata! Kelas Menengah RI Masih 'Makan Tabungan' di Akhir 2023,nyata ! kelas menengah RI masih makan tabungan di akhir 2023,"['nyata', '!', 'kelas', 'menengah', 'ri', 'masih', 'makan', 'tabungan', 'di', 'akhir', '202', '##3']",2024/01/09,netral
"Wall Street Dibuka Naik Sih, Tapi Tipis-Tipis Aja Nih","wall street dibuka naik sih , tapi tipis-tipis aja nih","['wall', 'street', 'dibuka', 'naik', 'sih', ',', 'tapi', 'tipis', '-', 'tipis', 'aja', 'nih']",2024/01/10,positif
"Tak Kuat Modal, 10 Asuransi Tak Lanjutkan Usaha Syariah","tak kuat modal , 10 asuransi tak lanjutkan usaha syariah","['tak', 'kuat', 'modal', ',', '10', 'asuransi', 'tak', 'lanjutkan', 'usaha', 'syariah']",2024/01/10,negatif
"4 Peraturan Baru Asuransi & Dapen Terbit Tahun Ini, Cek Rinciannya","4 peraturan baru asuransi dapen terbit tahun ini , cek rinciannya","['4', 'peraturan', 'baru', 'asuransi', 'dap', '##en', 'terbit', 'tahun', 'ini', ',', 'cek', 'rincian', '##nya']",2024/01/10,netral
Rupiah Ditutup Terlemah 1 Bulan Terakhir Gegara Proyeksi Ini!,rupiah ditutup terlemah 1 bulan terakhir gegara proyeksi ini !,"['rupiah', 'ditutup', 'terl', '##emah', '1', 'bulan', 'terakhir', 'geg', '##ara', 'proyeksi', 'ini', '!']",2024/01/10,negatif
"Otoritas Bursa AS Kena Hack, Harga Kripto Berterbangan","otoritas bursa AS kena hack , harga kripto berterbangan","['otoritas', 'bursa', 'as', 'kena', 'hack', ',', 'harga', 'kri', '##pt', '##o', 'bert', '##erb', '##angan']",2024/01/10,negatif
IFG Tunjuk Novi Imelda Jadi Direktur Bahana TCW,IFG tunjuk novi imelda jadi direktur bahana TCW,"['if', '##g', 'tunjuk', 'novi', 'im', '##eld', '##a', 'jadi', 'direktur', 'bahan', '##a', 'tc', '##w']",2024/01/10,netral
"Menantu Jokowi Jadi Sorotan Publik, Segini Harta Bobby Nasution","menantu jokowi jadi sorotan publik , segini harta bobby nasution","['menantu', 'jokowi', 'jadi', 'sorotan', 'publik', ',', 'segi', '##ni', 'harta', 'bobby', 'nasution']",2024/01/10,netral
"Dolar AS Akan Tetap Lebih Perkasa Dibanding Yuan, Ini Alasannya","dolar AS akan tetap lebih perkasa dibanding yuan , ini alasannya","['dolar', 'as', 'akan', 'tetap', 'lebih', 'perkasa', 'dibanding', 'yuan', ',', 'ini', 'alasannya']",2024/01/10,netral
